country_name,slug_game,medals_total,athletes_unique,avg_rank,medal_share,medals_total_lag_1,athletes_unique_lag_1,cluster,pca_1,pca_2
Afghanistan,athens-2004,0,2,19.5,0.0,0.0,0.0,2,-0.8178798328343003,-0.6409709430709128
Afghanistan,atlanta-1996,0,1,111.0,0.0,0.0,2.0,0,-2.321453007804438,4.409245067984847
Afghanistan,beijing-2008,1,2,5.0,0.00034106412005457026,0.0,1.0,2,-0.5626320488048968,-1.436167213045905
Afghanistan,berlin-1936,3,0,5.0,0.002150537634408602,1.0,2.0,2,-0.5205215442967044,-1.4213971125996945
Afghanistan,london-1948,6,0,12.0,0.004294917680744453,3.0,0.0,2,-0.5403857999170799,-1.0047796994608265
Afghanistan,london-2012,1,4,14.5,0.00038387715930902113,6.0,0.0,2,-0.6312375980548122,-0.8791652513785965
Afghanistan,melbourne-1956,3,0,11.0,0.0026246719160104987,1.0,4.0,2,-0.6111718491119874,-1.088161399611875
Afghanistan,moscow-1980,0,11,17.0,0.0,0.0,5.0,2,-0.6734988353659581,-0.7551924888788478
Afghanistan,rio-2016,0,1,33.0,0.0,0.0,8.0,2,-1.0495326046052833,0.10188531257909242
Afghanistan,rome-1960,0,10,17.0,0.0,0.0,1.0,2,-0.6850115373524721,-0.7578408062798385
Afghanistan,tokyo-1964,0,8,5.0,0.0,0.0,5.0,2,-0.512356879294861,-1.4258081726827048
Afghanistan,tokyo-2020,0,2,29.0,0.0,0.0,8.0,2,-0.972793215275223,-0.11635661388687867
Albania,athens-2004,0,5,33.6,0.0,0.0,0.0,2,-1.0132657997607595,0.14561211876309949
Albania,atlanta-1996,0,5,21.0,0.0,0.0,5.0,2,-0.8078017346285884,-0.5501921494178301
Albania,barcelona-1992,0,7,30.625,0.0,0.0,5.0,2,-0.9417280470759688,-0.013378365310971993
Albania,beijing-2008,0,9,28.55555555555556,0.0,0.0,7.0,2,-0.8849568916647867,-0.12236175250960597
Albania,beijing-2022,0,1,28.0,0.0,0.0,9.0,2,-0.9679992454258504,-0.1742274922546098
Albania,london-2012,0,8,23.0,0.0,0.0,1.0,2,-0.8058769723408196,-0.43180207528137715
Albania,munich-1972,1,5,34.4,0.00046274872744099955,0.0,8.0,2,-1.0056648812515738,0.1958087478452113
Albania,pyeongchang-2018,0,2,45.333333333333336,0.0,1.0,5.0,0,-1.2286966525199425,0.7900984488175664
Albania,rio-2016,0,4,24.25,0.0,0.0,2.0,2,-0.8723111200817337,-0.3733671436769143
Albania,sochi-2014,0,2,60.0,0.0,0.0,4.0,0,-1.4783000421877075,1.595542776082075
Albania,sydney-2000,0,2,12.333333333333334,0.0,0.0,2.0,2,-0.7010153513437798,-1.0367326299992192
Albania,tokyo-2020,0,5,20.666666666666668,0.0,0.0,2.0,2,-0.8023661773499595,-0.5685996697400768
Albania,turin-2006,0,1,45.5,0.0,0.0,5.0,0,-1.253366002553866,0.7921673246633479
Albania,vancouver-2010,0,1,55.5,0.0,0.0,1.0,0,-1.4164327209127319,1.3443929343307526
Algeria,albertville-1992,0,4,71.33333333333333,0.0,0.0,0.0,0,-1.640083585688061,2.2266951018404475
Algeria,athens-2004,3,43,24.456521739130437,0.0011181513231457323,0.0,4.0,2,-0.36884034911492686,-0.2417049146542493
Algeria,atlanta-1996,6,25,15.586206896551724,0.002157497303128371,3.0,43.0,2,-0.3434589842796708,-0.7490990929023147
Algeria,barcelona-1992,6,22,14.043478260869565,0.0020442930153321977,6.0,25.0,2,-0.32324033124719176,-0.8292314973425629
Algeria,beijing-2008,5,41,20.1,0.0017053206002728514,6.0,22.0,2,-0.22203002996797827,-0.44997930615240445
Algeria,london-2012,4,24,17.08,0.0015355086372360845,5.0,41.0,2,-0.39514287553384175,-0.6711038822651526
Algeria,los-angeles-1984,5,11,13.25,0.0021358393848782574,4.0,24.0,2,-0.47005978126440623,-0.9149509699201884
Algeria,mexico-city-1968,0,3,51.333333333333336,0.0,5.0,11.0,0,-1.2732685039163685,1.1420283996764042
Algeria,moscow-1980,6,20,11.0625,0.003246753246753247,0.0,1.0,2,-0.34205512724811604,-1.0212452836942048
Algeria,munich-1972,0,1,5.0,0.0,6.0,20.0,2,-0.5303125767518893,-1.417426993003533
Algeria,rio-2016,5,35,20.02777777777778,0.0017755681818181818,0.0,1.0,2,-0.3514965267542284,-0.49649535329069544
Algeria,seoul-1988,3,21,22.666666666666668,0.001111934766493699,5.0,35.0,2,-0.5408331337386383,-0.3764003599468296
Algeria,sydney-2000,5,35,17.77777777777778,0.0018684603886397607,3.0,21.0,2,-0.28208129849630525,-0.6069140994298362
Algeria,tokyo-1964,0,1,91.0,0.0,5.0,35.0,0,-1.9431252240462313,3.327226683221794
Algeria,tokyo-2020,0,34,20.21875,0.0,0.0,1.0,2,-0.46119378964789653,-0.5165335705443661
Algeria,turin-2006,0,2,45.5,0.0,0.0,34.0,0,-1.241853300567352,0.7948156420643386
Algeria,vancouver-2010,0,1,84.0,0.0,0.0,2.0,0,-1.8811728682354998,2.918235921882855
American Samoa,athens-2004,0,1,15.0,0.0,0.0,0.0,2,-0.7560125115593247,-0.8921207848222356
American Samoa,atlanta-1996,0,5,21.4,0.0,0.0,1.0,2,-0.814324403362943,-0.528103125031134
American Samoa,barcelona-1992,0,3,11.666666666666666,0.0,0.0,5.0,2,-0.678631534800008,-1.0708993532427222
American Samoa,beijing-2008,0,3,50.333333333333336,0.0,0.0,3.0,0,-1.3091561791209565,1.0643730041379085
American Samoa,beijing-2022,0,1,19.0,0.0,0.0,3.0,2,-0.821239198902871,-0.6712305409552738
American Samoa,lillehammer-1994,0,2,39.0,0.0,0.0,1.0,0,-1.1358599336340889,0.4358689957805258
American Samoa,london-2012,0,4,34.333333333333336,0.0,0.0,2.0,2,-1.0367367277602568,0.18346034607105188
American Samoa,rio-2016,0,2,17.0,0.0,0.0,4.0,2,-0.7771131532445839,-0.779027345487764
American Samoa,seoul-1988,0,6,20.6,0.0,0.0,2.0,2,-0.7897663639077198,-0.5696328564035354
American Samoa,sydney-2000,0,2,42.0,0.0,0.0,6.0,0,-1.1847799491417488,0.6015366786807471
American Samoa,tokyo-2020,0,3,16.333333333333332,0.0,0.0,2.0,2,-0.7547293367008121,-0.8131940687312669
Andorra,albertville-1992,0,5,38.0,0.0,0.0,0.0,0,-1.0850151558386605,0.3885913870167574
Andorra,athens-2004,0,4,44.0,0.0,0.0,5.0,0,-1.194367888840494,0.7172784354162094
Andorra,atlanta-1996,0,8,38.375,0.0,0.0,4.0,0,-1.056592051817576,0.4172447995822572
Andorra,barcelona-1992,0,7,36.5,0.0,0.0,8.0,0,-1.0375297441118025,0.3110541803686281
Andorra,beijing-2008,0,4,30.0,0.0,0.0,7.0,2,-0.9660744831380815,-0.05583741811815681
Andorra,beijing-2022,0,5,28.63636363636364,0.0,0.0,4.0,2,-0.9323254104662678,-0.12849259294453927
Andorra,calgary-1988,0,4,33.0,0.0,0.0,5.0,2,-1.0149944986457413,0.10983026478206451
Andorra,innsbruck-1976,0,5,50.5,0.0,0.0,4.0,0,-1.288848553787243,1.078873399101013
Andorra,lake-placid-1980,1,3,38.2,0.0031545741324921135,0.0,5.0,0,-1.0498370591789419,0.4111467773797925
Andorra,lillehammer-1994,0,6,38.6,0.0,1.0,3.0,0,-1.0728475875455836,0.42885980791214356
Andorra,london-2012,0,5,39.0,0.0,0.0,6.0,0,-1.1013218276745471,0.4438139479834979
Andorra,los-angeles-1984,0,2,27.0,0.0,0.0,5.0,2,-0.9401798716034497,-0.22680173582035953
Andorra,montreal-1976,0,3,25.666666666666668,0.0,0.0,2.0,2,-0.9069249405024203,-0.297783499708356
Andorra,moscow-1980,0,2,25.0,0.0,0.0,3.0,2,-0.9075665279316766,-0.33724685775384033
Andorra,nagano-1998,0,3,19.0,0.0,0.0,2.0,2,-0.798213794929843,-0.6659339061532924
Andorra,pyeongchang-2018,0,5,32.1,0.0,0.0,3.0,2,-0.9888057920069295,0.06277827731298885
Andorra,rio-2016,0,3,39.0,0.0,0.0,5.0,0,-1.1243472316475749,0.4385173131815165
Andorra,salt-lake-city-2002,0,3,33.0,0.0,0.0,3.0,2,-1.0265072006322553,0.10718194738107381
Andorra,sarajevo-1984,0,2,49.0,0.0,0.0,3.0,0,-1.298926651992955,0.9880946054479302
Andorra,seoul-1988,0,2,34.0,0.0,0.0,2.0,2,-1.054326574454656,0.15975619094682353
Andorra,sochi-2014,0,6,36.44444444444444,0.0,0.0,2.0,0,-1.0481365198852117,0.30533794291392957
Andorra,sydney-2000,0,4,43.5,0.0,0.0,6.0,0,-1.1862145529225507,0.6896671549328391
Andorra,tokyo-2020,0,1,13.5,0.0,0.0,4.0,2,-0.7315525038054947,-0.9749546262723462
Andorra,turin-2006,0,3,43.0,0.0,0.0,1.0,0,-1.1895739189911214,0.6594075570484782
Andorra,vancouver-2010,0,6,41.27272727272727,0.0,0.0,3.0,0,-1.1268697434968662,0.571968085763444
Angola,athens-2004,6,3,21.625,0.0022363026462914647,0.0,0.0,2,-0.7253326570595687,-0.48702830150771786
Angola,atlanta-1996,6,2,19.88888888888889,0.002157497303128371,6.0,3.0,2,-0.6470969450084284,-0.5589455737397119
Angola,barcelona-1992,3,13,30.823529411764707,0.0010221465076660989,6.0,2.0,2,-0.7568687046542949,0.0569826434398988
Angola,beijing-2008,6,5,23.8,0.0020463847203274215,3.0,13.0,2,-0.7093375530904988,-0.34892409371143895
Angola,london-2012,6,6,17.384615384615383,0.0023032629558541267,6.0,5.0,2,-0.5579993946391685,-0.6860604664444431
Angola,moscow-1980,1,7,17.0,0.0005411255411255411,6.0,6.0,2,-0.6350816724945045,-0.7325336396107457
Angola,rio-2016,3,9,22.416666666666668,0.001065340909090909,1.0,7.0,2,-0.7173709119788463,-0.44011882650758694
Angola,seoul-1988,0,19,37.88,0.0,3.0,9.0,0,-0.8905639191828736,0.4325008240576717
Angola,sydney-2000,6,4,22.2,0.002242152466367713,0.0,19.0,2,-0.7231075852751663,-0.45260356526240547
Angola,tokyo-2020,24,3,10.925925925925926,0.0033655868742111907,6.0,4.0,2,-0.22578356849921946,-0.9714633557747929
Antigua and Barbuda,athens-2004,0,2,74.5,0.0,0.0,0.0,0,-1.714746783808063,2.396269910099811
Antigua and Barbuda,atlanta-1996,0,2,43.0,0.0,0.0,2.0,0,-1.2010866209776354,0.6567592396474875
Antigua and Barbuda,barcelona-1992,0,8,28.5,0.0,0.0,2.0,2,-0.8955636674381958,-0.12807798996430475
