country_name,slug_game,medals_total,athletes_unique,avg_rank
Afghanistan,athens-2004,0,2,19.5
Afghanistan,atlanta-1996,0,1,111.0
Afghanistan,beijing-2008,1,2,5.0
Afghanistan,berlin-1936,3,0,5.0
Afghanistan,london-1948,6,0,12.0
Afghanistan,london-2012,1,4,14.5
Afghanistan,melbourne-1956,3,0,11.0
Afghanistan,mexico-city-1968,0,5,
Afghanistan,moscow-1980,0,11,17.0
Afghanistan,munich-1972,0,8,
Afghanistan,rio-2016,0,1,33.0
Afghanistan,rome-1960,0,10,17.0
Afghanistan,seoul-1988,0,5,
Afghanistan,tokyo-1964,0,8,5.0
Afghanistan,tokyo-2020,0,2,29.0
Albania,athens-2004,0,5,33.6
Albania,atlanta-1996,0,5,21.0
Albania,barcelona-1992,0,7,30.625
Albania,beijing-2008,0,9,28.555555555555557
Albania,beijing-2022,0,1,28.0
Albania,london-2012,0,8,23.0
Albania,munich-1972,1,5,34.4
Albania,pyeongchang-2018,0,2,45.333333333333336
Albania,rio-2016,0,4,24.25
Albania,sochi-2014,0,2,60.0
Albania,sydney-2000,0,2,12.333333333333334
Albania,tokyo-2020,0,5,20.666666666666668
Albania,turin-2006,0,1,45.5
Albania,vancouver-2010,0,1,55.5
Algeria,albertville-1992,0,4,71.33333333333333
Algeria,athens-2004,3,43,24.456521739130434
Algeria,atlanta-1996,6,25,15.586206896551724
Algeria,barcelona-1992,6,22,14.043478260869565
Algeria,beijing-2008,5,41,20.1
Algeria,london-2012,4,24,17.08
Algeria,los-angeles-1984,5,11,13.25
Algeria,mexico-city-1968,0,3,51.333333333333336
Algeria,montreal-1976,0,1,
Algeria,moscow-1980,6,20,11.0625
Algeria,munich-1972,0,1,5.0
Algeria,rio-2016,5,35,20.02777777777778
Algeria,seoul-1988,3,21,22.666666666666668
Algeria,sydney-2000,5,35,17.77777777777778
Algeria,tokyo-1964,0,1,91.0
Algeria,tokyo-2020,0,34,20.21875
Algeria,turin-2006,0,2,45.5
Algeria,vancouver-2010,0,1,84.0
American Samoa,athens-2004,0,1,15.0
American Samoa,atlanta-1996,0,5,21.4
American Samoa,barcelona-1992,0,3,11.666666666666666
American Samoa,beijing-2008,0,3,50.333333333333336
American Samoa,beijing-2022,0,1,19.0
American Samoa,lillehammer-1994,0,2,39.0
American Samoa,london-2012,0,4,34.333333333333336
American Samoa,rio-2016,0,2,17.0
American Samoa,seoul-1988,0,6,20.6
American Samoa,sydney-2000,0,2,42.0
American Samoa,tokyo-2020,0,3,16.333333333333332
Andorra,albertville-1992,0,5,38.0
Andorra,athens-2004,0,4,44.0
Andorra,atlanta-1996,0,8,38.375
Andorra,barcelona-1992,0,7,36.5
Andorra,beijing-2008,0,4,30.0
Andorra,beijing-2022,0,5,28.636363636363637
Andorra,calgary-1988,0,4,33.0
Andorra,innsbruck-1976,0,5,50.5
Andorra,lake-placid-1980,1,3,38.2
Andorra,lillehammer-1994,0,6,38.6
Andorra,london-2012,0,5,39.0
Andorra,los-angeles-1984,0,2,27.0
Andorra,montreal-1976,0,3,25.666666666666668
Andorra,moscow-1980,0,2,25.0
Andorra,nagano-1998,0,3,19.0
Andorra,pyeongchang-2018,0,5,32.1
Andorra,rio-2016,0,3,39.0
Andorra,salt-lake-city-2002,0,3,33.0
Andorra,sarajevo-1984,0,2,49.0
Andorra,seoul-1988,0,2,34.0
Andorra,sochi-2014,0,6,36.44444444444444
Andorra,sydney-2000,0,4,43.5
Andorra,tokyo-2020,0,1,13.5
Andorra,turin-2006,0,3,43.0
Andorra,vancouver-2010,0,6,41.27272727272727
Angola,athens-2004,6,3,21.625
Angola,atlanta-1996,6,2,19.88888888888889
Angola,barcelona-1992,3,13,30.823529411764707
Angola,beijing-2008,6,5,23.8
Angola,london-2012,6,6,17.384615384615383
Angola,moscow-1980,1,7,17.0
Angola,rio-2016,3,9,22.416666666666668
Angola,seoul-1988,0,19,37.88
Angola,sydney-2000,6,4,22.2
Angola,tokyo-2020,24,3,10.925925925925926
Antigua and Barbuda,athens-2004,0,2,74.5
Antigua and Barbuda,atlanta-1996,0,2,43.0
Antigua and Barbuda,barcelona-1992,0,8,28.5
Antigua and Barbuda,beijing-2008,0,1,96.0
Antigua and Barbuda,london-2012,0,1,55.0
Antigua and Barbuda,los-angeles-1984,0,3,30.0
Antigua and Barbuda,montreal-1976,0,1,
Antigua and Barbuda,rio-2016,0,3,50.5
Antigua and Barbuda,seoul-1988,0,5,27.75
Antigua and Barbuda,sydney-2000,0,1,39.0
Antigua and Barbuda,tokyo-2020,0,2,30.0
Argentina,albertville-1992,0,20,64.56410256410257
